notriad;no_order;emotion;FINAL
1;1;2;7.9642
1;1;2;8.7560
1;1;2;6.9567
1;1;2;4.9822
1;1;2;1.2940
1;1;2;5.3005
1;1;2;14.0262
1;1;2;5.1756
1;1;2;5.9136
1;1;2;4.7688
1;1;2;4.2290
1;1;2;7.6553
1;1;2;4.5037
1;1;2;3.4757
1;1;2;13.6296
1;1;2;0.9368
1;1;2;1.1107
1;1;2;8.1380
1;1;2;6.0697
1;1;2;0.9713
1;1;2;6.7385
1;1;2;15.3787
1;1;2;6.4276
1;1;2;7.3453
1;1;2;5.7787
1;1;2;5.2061
1;1;2;9.2614
1;1;2;5.9432
1;1;2;2.3508
1;1;2;15.2140
1;1;2;1.6545
1;1;2;0.8205
1;1;2;8.3438
1;1;2;10.1860
1;1;2;15.3387
1;1;2;10.0938
1;1;2;2.2246
1;1;2;10.0753
1;1;2;9.5141
1;1;2;16.8244
1;1;2;11.0366
1;1;2;7.5252
1;1;2;10.6650
1;1;2;18.3641
1;1;2;2.5797
1;1;2;15.1826
1;1;2;15.6200
1;1;2;4.0698
1;1;2;4.6262
1;1;2;9.5419
1;1;2;4.1565
1;1;2;5.0750
1;1;2;4.1381
1;1;2;3.5769
1;1;2;10.9131
1;1;2;5.1743
1;1;2;2.4385
1;1;2;4.7277
1;1;2;12.4318
1;1;2;5.5018
1;1;2;9.2427
1;1;2;9.6828
1;1;2;4.0042
1;1;2;2.1148
1;1;2;3.3360
1;1;2;3.4860
1;1;2;11.1336
1;1;2;2.9410
1;1;2;4.0348
1;1;2;6.5313
1;1;2;1.7216
1;1;2;5.9660
1;1;2;2.8729
1;1;2;6.4028
1;1;2;11.7821
1;1;2;3.2130
1;1;2;3.6587
1;1;3;2.8434
1;1;3;0.8158
1;1;3;4.5569
1;1;3;1.9991
1;1;3;10.0841
1;1;3;1.2151
1;1;3;2.4533
1;1;3;7.9594
1;1;3;0.4630
1;1;3;4.5133
1;1;3;2.1009
1;1;3;7.4314
1;1;3;10.1824
1;1;3;4.2392
1;1;3;4.6782
1;1;3;1.8209
1;1;3;2.9799
1;1;3;8.1314
1;1;3;2.8934
1;1;3;6.3381
1;1;3;2.8750
1;1;3;2.3138
1;1;3;9.6884
1;1;3;3.8363
1;1;3;3.0856
1;1;3;3.4647
1;1;3;11.1638
1;1;3;7.7825
1;1;3;7.9779
1;1;3;8.4197
1;1;3;5.1714
1;1;3;3.1886
1;1;3;2.3170
1;1;3;4.1206
1;1;3;12.2933
1;1;3;3.6202
1;1;3;4.6727
1;1;3;6.8267
1;1;3;2.4310
1;1;3;6.5669
1;1;3;3.5657
1;1;3;5.2092
1;1;3;12.3745
1;1;3;2.0194
1;1;3;2.4651
1;1;3;11.3912
1;1;3;12.9177
1;1;3;17.9330
1;1;3;12.4397
1;1;3;4.4550
1;1;3;12.4235
1;1;3;11.8601
1;1;3;19.1704
1;1;3;13.5541
1;1;3;9.8712
1;1;3;13.0109
1;1;3;20.7719
1;1;3;3.8992
1;1;3;17.5735
1;1;3;18.0254
1;1;3;4.6675
1;1;3;2.9944
1;1;3;4.8822
1;1;3;2.4588
1;1;3;9.8125
1;1;3;3.2355
1;1;3;2.5393
1;1;3;6.6010
1;1;3;2.7695
1;1;3;3.9068
1;1;3;1.6924
1;1;3;7.7237
1;1;3;9.7625
1;1;3;4.5253
1;1;3;4.9680
1;1;3;9.4280
1;1;3;7.3597
1;1;3;2.7169
1;1;3;7.4372
1;1;3;16.6687
1;1;3;7.4556
1;1;3;8.0328
1;1;3;3.5687
1;1;3;6.4943
1;1;3;10.0057
1;1;3;6.8659
1;1;3;1.2911
1;1;3;15.9893
1;1;3;2.5956
1;1;3;2.2952
1;1;3;1.2108
1;1;3;3.2668
1;1;3;8.3911
1;1;3;3.6458
1;1;3;6.5287
1;1;3;3.1709
1;1;3;3.5882
1;1;3;11.1515
1;1;3;4.1322
1;1;3;5.2628
1;1;3;4.2684
1;1;3;11.4597
1;1;3;9.5054
1;1;3;8.2699
1;1;3;8.7156
1;1;3;2.7854
1;1;3;4.0553
1;1;3;9.1922
1;1;3;3.9386
1;1;3;5.2930
1;1;3;3.9202
1;1;3;3.3590
1;1;3;10.6693
1;1;3;4.8815
1;1;3;2.3524
1;1;3;4.5098
1;1;3;12.2090
1;1;3;6.7339
1;1;3;9.0252
1;1;3;9.4649
1;1;3;8.1046
1;1;3;8.0031
1;1;3;12.2907
1;1;3;6.4877
1;1;3;5.0547
1;1;3;7.3612
1;1;3;6.0138
1;1;3;13.1947
1;1;3;8.3227
1;1;3;3.9254
1;1;3;7.0367
1;1;3;14.8007
1;1;3;2.3717
1;1;3;11.6151
1;1;3;12.1155
1;1;3;14.7226
1;1;3;16.6363
1;1;3;21.7839
1;1;3;16.4896
1;1;3;7.5730
1;1;3;16.4711
1;1;3;15.9099
1;1;3;23.2202
1;1;3;17.4534
1;1;3;13.9210
1;1;3;17.0608
1;1;3;24.7719
1;1;3;7.9490
1;1;3;21.5777
1;1;3;22.0214
1;1;3;5.0563
1;1;3;7.0428
1;1;3;12.2028
1;1;3;6.9281
1;1;3;2.3593
1;1;3;6.9097
